"personefullname","total_orders","avg_orders","total_spending","last_orderdate"
"Brian Bailey","2","50.14","100.28","4364 days"
"Brian Bailey","2","50.14","100.28","4364 days"
"Kendra Romero","2","35.34","70.69","4201 days"
"Kendra Romero","2","35.34","70.69","4201 days"
"Bryce Bailey","2","2419.44","4838.88","4248 days"
"Bryce Bailey","2","2419.44","4838.88","4248 days"
"Kendra Navarro","2","2400.11","4800.22","4227 days"
"Kendra Navarro","2","2400.11","4800.22","4227 days"
"Nathaniel Bailey","2","2466.67","4933.35","4228 days"
"Nathaniel Bailey","2","2466.67","4933.35","4228 days"
"Chase Bailey","2","62.97","125.94","4280 days"
"Chase Bailey","2","62.97","125.94","4280 days"
"Kendra Gutierrez","2","60.76","121.52","4156 days"
"Kendra Gutierrez","2","60.76","121.52","4156 days"
"Juan Bailey","2","1739.79","3479.58","4339 days"
"Juan Bailey","2","1739.79","3479.58","4339 days"
"Kendra Dominguez","1","138.11","138.11","4437 days"
"Cole Bailey","3","78.80","236.40","4190 days"
"Cole Bailey","3","78.80","236.40","4190 days"
"Cole Bailey","3","78.80","236.40","4190 days"
"Jared Bailey","1","44.18","44.18","4478 days"
"Paula Vazquez","1","8.04","8.04","4201 days"
"Kendra Gill","1","109.35","109.35","4129 days"
"Kendra Vazquez","1","8.04","8.04","4468 days"
"Bryan Bailey","3","57.08","171.23","4198 days"
"Bryan Bailey","3","57.08","171.23","4198 days"
"Bryan Bailey","3","57.08","171.23","4198 days"
"Kendra Blanco","1","8.04","8.04","4266 days"
"Garrett Bailey","1","5.51","5.51","4323 days"
"Kendra Serrano","1","44.18","44.18","4333 days"
"Steven Bailey","2","1726.54","3453.08","4323 days"
"Steven Bailey","2","1726.54","3453.08","4323 days"
"Kendra Ramos","2","1757.47","3514.94","4296 days"
"Kendra Ramos","2","1757.47","3514.94","4296 days"
"Kendra Carlson","1","44.18","44.18","4259 days"
"Adrian Bailey","2","1613.24","3226.48","4270 days"
"Adrian Bailey","2","1613.24","3226.48","4270 days"
"Cody Bailey","2","2426.25","4852.51","4242 days"
"Cody Bailey","2","2426.25","4852.51","4242 days"
"Kendra Suarez","2","2426.59","4853.18","4246 days"
"Kendra Suarez","2","2426.59","4853.18","4246 days"
"Charles Bailey","4","59.52","238.07","4205 days"
"Charles Bailey","4","59.52","238.07","4205 days"
"Charles Bailey","4","59.52","238.07","4205 days"
"Charles Bailey","4","59.52","238.07","4205 days"
"Kendra Sanz","1","50.77","50.77","4411 days"
"Eduardo Bailey","1","110.39","110.39","4256 days"
"Kendra Rubio","2","2679.81","5359.61","4224 days"
"Kendra Rubio","2","2679.81","5359.61","4224 days"
"Richard Bailey","2","2598.42","5196.85","4226 days"
"Richard Bailey","2","2598.42","5196.85","4226 days"
"Kendra Ortega","1","8.04","8.04","4193 days"
"Marcus Bailey","2","2455.89","4911.79","4236 days"
"Marcus Bailey","2","2455.89","4911.79","4236 days"
"Ian Bailey","2","2455.80","4911.60","4229 days"
"Ian Bailey","2","2455.80","4911.60","4229 days"
"Lucas Bailey","2","2467.68","4935.36","4227 days"
"Lucas Bailey","2","2467.68","4935.36","4227 days"
"Paula Blanco","2","2457.73","4915.46","4243 days"
"Paula Blanco","2","2457.73","4915.46","4243 days"
"Teresa Martin","2","2426.25","4852.51","4222 days"
"Teresa Martin","2","2426.25","4852.51","4222 days"
"Teresa Gomez","2","2413.71","4827.41","4231 days"
"Teresa Gomez","2","2413.71","4827.41","4231 days"
"Seth Bailey","2","2453.86","4907.72","4248 days"
"Seth Bailey","2","2453.86","4907.72","4248 days"
"Teresa Ruiz","2","2427.52","4855.04","4235 days"
"Teresa Ruiz","2","2427.52","4855.04","4235 days"
"Xavier Bailey","2","47.93","95.87","4152 days"
"Xavier Bailey","2","47.93","95.87","4152 days"
"Teresa Diaz","2","2610.74","5221.48","4223 days"
"Teresa Diaz","2","2610.74","5221.48","4223 days"
"Dalton Bailey","2","901.38","1802.76","4234 days"
"Dalton Bailey","2","901.38","1802.76","4234 days"
"Teresa Alvarez","2","857.75","1715.49","4234 days"
"Teresa Alvarez","2","857.75","1715.49","4234 days"
"Jeremy Bailey","1","109.35","109.35","4183 days"
"Teresa Jimenez","2","857.75","1715.49","4247 days"
"Teresa Jimenez","2","857.75","1715.49","4247 days"
"Carlos Rivera","2","2422.20","4844.41","4241 days"
"Carlos Rivera","2","2422.20","4844.41","4241 days"
"Angel Rivera","2","1773.49","3546.97","4283 days"
"Angel Rivera","2","1773.49","3546.97","4283 days"
"Isaiah Rivera","2","1753.60","3507.20","4292 days"
"Isaiah Rivera","2","1753.60","3507.20","4292 days"
"Martin Rienstra","2","1743.11","3486.22","4285 days"
"Martin Rienstra","2","1743.11","3486.22","4285 days"
"Evan Rivera","2","1745.59","3491.18","4306 days"
"Evan Rivera","2","1745.59","3491.18","4306 days"
"Mason Rivera","3","70.65","211.95","4140 days"
"Mason Rivera","3","70.65","211.95","4140 days"
"Mason Rivera","3","70.65","211.95","4140 days"
"Teresa Munoz","1","8.04","8.04","4484 days"
"Isaac Rivera","2","1701.85","3403.70","4291 days"
"Isaac Rivera","2","1701.85","3403.70","4291 days"
"Jesse Rivera","2","1736.49","3472.98","4302 days"
"Jesse Rivera","2","1736.49","3472.98","4302 days"
"Teresa Alonso","2","2648.14","5296.29","4222 days"
"Teresa Alonso","2","2648.14","5296.29","4222 days"
"Sean Rivera","1","14.30","14.30","4312 days"
"Timothy Rivera","2","1774.33","3548.65","4291 days"
"Timothy Rivera","2","1774.33","3548.65","4291 days"
"Teresa Romero","2","2455.35","4910.70","4234 days"
"Teresa Romero","2","2455.35","4910.70","4234 days"
"Teresa Navarro","2","2449.61","4899.23","4222 days"
"Teresa Navarro","2","2449.61","4899.23","4222 days"
"Teresa Gutierrez","2","54.68","109.35","4229 days"
"Teresa Gutierrez","2","54.68","109.35","4229 days"
"Brian Rivera","2","2456.64","4913.27","4222 days"
"Brian Rivera","2","2456.64","4913.27","4222 days"
"Teresa Torres","2","1630.74","3261.47","4265 days"
"Teresa Torres","2","1630.74","3261.47","4265 days"
"Bryce Rivera","2","1611.40","3222.80","4251 days"
"Bryce Rivera","2","1611.40","3222.80","4251 days"
"Nathaniel Rivera","2","1616.83","3233.66","4247 days"
"Nathaniel Rivera","2","1616.83","3233.66","4247 days"
"Chase Rivera","2","1608.27","3216.54","4199 days"
"Chase Rivera","2","1608.27","3216.54","4199 days"
"Juan Rivera","2","38.10","76.20","4167 days"
"Juan Rivera","2","38.10","76.20","4167 days"
"Teresa Dominguez","2","1557.27","3114.54","4195 days"
"Teresa Dominguez","2","1557.27","3114.54","4195 days"
"Teresa Gill","2","2481.21","4962.42","4245 days"
"Teresa Gill","2","2481.21","4962.42","4245 days"
"Cole Rivera","2","2468.88","4937.76","4237 days"
"Cole Rivera","2","2468.88","4937.76","4237 days"
"Teresa Vazquez","2","56.21","112.42","4425 days"
"Teresa Vazquez","2","56.21","112.42","4425 days"
"Teresa Blanco","2","22.80","45.59","4192 days"
"Teresa Blanco","2","22.80","45.59","4192 days"
"Teresa Serrano","2","2430.49","4860.98","4249 days"
"Teresa Serrano","2","2430.49","4860.98","4249 days"
"Jared Rivera","2","2430.49","4860.98","4248 days"
"Jared Rivera","2","2430.49","4860.98","4248 days"
"Bryan Rivera","2","2422.20","4844.41","4225 days"
"Bryan Rivera","2","2422.20","4844.41","4225 days"
"Teresa Ramos","2","2457.45","4914.90","4227 days"
"Teresa Ramos","2","2457.45","4914.90","4227 days"
"Garrett Rivera","2","68.21","136.41","4223 days"
"Garrett Rivera","2","68.21","136.41","4223 days"
"Steven Rivera","2","2412.44","4824.88","4240 days"
"Steven Rivera","2","2412.44","4824.88","4240 days"
"Paula Ramos","2","39.74","79.47","4193 days"
"Paula Ramos","2","39.74","79.47","4193 days"
"Teresa Carlson","2","2431.78","4863.56","4225 days"
"Teresa Carlson","2","2431.78","4863.56","4225 days"
"Adrian Rivera","2","2426.25","4852.51","4232 days"
"Adrian Rivera","2","2426.25","4852.51","4232 days"
"Xavier Stewart","2","2469.43","4938.86","4221 days"
"Xavier Stewart","2","2469.43","4938.86","4221 days"
"Dalton Stewart","2","2417.22","4834.44","4236 days"
"Dalton Stewart","2","2417.22","4834.44","4236 days"
"Jeremiah Stewart","2","1565.55","3131.09","4209 days"
"Jeremiah Stewart","2","1565.55","3131.09","4209 days"
"Teresa Rubio","2","134.23","268.46","4143 days"
"Teresa Rubio","2","134.23","268.46","4143 days"
"Carlos Sanchez","2","50.14","100.28","4142 days"
"Carlos Sanchez","2","50.14","100.28","4142 days"
"Teresa Ortega","2","22.08","44.17","4291 days"
"Teresa Ortega","2","22.08","44.17","4291 days"
"Isaiah Sanchez","2","33.14","66.28","4260 days"
"Isaiah Sanchez","2","33.14","66.28","4260 days"
"Sabrina Martin","2","33.14","66.28","4312 days"
"Sabrina Martin","2","33.14","66.28","4312 days"
"Alex Sanchez","2","105.47","210.93","4283 days"
"Alex Sanchez","2","105.47","210.93","4283 days"
"Evan Sanchez","2","70.14","140.28","4369 days"
"Evan Sanchez","2","70.14","140.28","4369 days"
"Sabrina Ruiz","2","36.61","73.22","4229 days"
"Sabrina Ruiz","2","36.61","73.22","4229 days"
"Heidi Suri","2","54.68","109.35","4236 days"
"Heidi Suri","2","54.68","109.35","4236 days"
"Heidi Kapoor","2","68.21","136.41","4305 days"
"Heidi Kapoor","2","68.21","136.41","4305 days"
"Mason Sanchez","2","40.86","81.73","4177 days"
"Mason Sanchez","2","40.86","81.73","4177 days"
"Damien Beck","2","28.68","57.36","4304 days"
"Damien Beck","2","28.68","57.36","4304 days"
"Paula Carlson","2","20.59","41.18","4287 days"
"Paula Carlson","2","20.59","41.18","4287 days"
"Heidi Chandra","1","40.84","40.84","4221 days"
"Heidi Patel","4","49.50","198.01","4222 days"
"Heidi Patel","4","49.50","198.01","4222 days"
"Heidi Patel","4","49.50","198.01","4222 days"
"Heidi Patel","4","49.50","198.01","4222 days"
"Isaac Sanchez","1","34.22","34.22","4311 days"
"Heidi Vance","1","24.29","24.29","4375 days"
"Jesse Sanchez","1","8.04","8.04","4393 days"
"Sean Sanchez","1","71.24","71.24","4209 days"
"Heidi Malhotra","1","51.35","51.35","4275 days"
"Heidi Sai","1","62.95","62.95","4397 days"
"Timothy Sanchez","4","55.31","221.22","4129 days"
"Timothy Sanchez","4","55.31","221.22","4129 days"
"Timothy Sanchez","4","55.31","221.22","4129 days"
"Timothy Sanchez","4","55.31","221.22","4129 days"
"Patrick Sanchez","2","857.75","1715.49","4222 days"
"Patrick Sanchez","2","857.75","1715.49","4222 days"
"Brian Sanchez","2","43.63","87.25","4201 days"
"Brian Sanchez","2","43.63","87.25","4201 days"
"Heidi Arun","2","897.51","1795.02","4237 days"
"Heidi Arun","2","897.51","1795.02","4237 days"
"Heidi Srini","2","877.08","1754.15","4212 days"
"Heidi Srini","2","877.08","1754.15","4212 days"
"Nathaniel Sanchez","2","901.38","1802.76","4201 days"
"Nathaniel Sanchez","2","901.38","1802.76","4201 days"
"Chase Sanchez","1","44.18","44.18","4488 days"
"Juan Sanchez","1","5.51","5.51","4254 days"
"Heidi Prasad","1","24.29","24.29","4153 days"
"Sebastian Sanchez","1","50.77","50.77","4428 days"
"Heidi Sara","2","39.08","78.17","4313 days"
"Heidi Sara","2","39.08","78.17","4313 days"
"Cole Sanchez","2","2084.26","4168.51","4266 days"
"Cole Sanchez","2","2084.26","4168.51","4266 days"
"Heidi Rana","2","43.63","87.25","4131 days"
"Heidi Rana","2","43.63","87.25","4131 days"
"Heidi Raman","2","21.54","43.07","4276 days"
"Heidi Raman","2","21.54","43.07","4276 days"
"Heidi Subram","2","1600.91","3201.81","4220 days"
"Heidi Subram","2","1600.91","3201.81","4220 days"
"Jared Sanchez","2","1621.79","3243.58","4203 days"
"Jared Sanchez","2","1621.79","3243.58","4203 days"
"Bryan Sanchez","2","1576.60","3153.20","4163 days"
"Bryan Sanchez","2","1576.60","3153.20","4163 days"
"Heidi Mehta","2","1569.60","3139.21","4176 days"
"Heidi Mehta","2","1569.60","3139.21","4176 days"
"Garrett Sanchez","1","8.04","8.04","4405 days"
"Steven Sanchez","1","44.18","44.18","4304 days"
"Heidi Garcia","1","44.18","44.18","4276 days"
"Adrian Sanchez","1","71.24","71.24","4194 days"
"Cody Sanchez","1","114.35","114.35","4426 days"
"Charles Sanchez","1","126.48","126.48","4384 days"
"Heidi Fernandez","1","15.45","15.45","4464 days"
"Heidi Lopez","2","744.08","1488.17","4502 days"
"Heidi Lopez","2","744.08","1488.17","4502 days"
"Devin Sanchez","1","106.57","106.57","4349 days"
"Heidi Martinez","1","62.95","62.95","4488 days"
"Eduardo Sanchez","1","62.95","62.95","4247 days"
"Richard Sanchez","2","1721.00","3442.01","4291 days"
"Richard Sanchez","2","1721.00","3442.01","4291 days"
"Heidi Gonzalez","1","44.18","44.18","4443 days"
"Ian Sanchez","1","8.04","8.04","4243 days"
"Paula Sanz","1","956.87","956.87","4239 days"
"Heidi Rodriguez","2","930.37","1860.74","4202 days"
"Heidi Rodriguez","2","930.37","1860.74","4202 days"
"Lucas Sanchez","1","44.18","44.18","4447 days"
"Seth Sanchez","1","75.68","75.68","4207 days"
"Heidi Sanchez","2","929.00","1858.00","4211 days"
"Heidi Sanchez","2","929.00","1858.00","4211 days"
"Xavier Sanchez","2","869.89","1739.78","4191 days"
"Xavier Sanchez","2","869.89","1739.78","4191 days"
"Heidi Perez","2","869.89","1739.78","4219 days"
"Heidi Perez","2","869.89","1739.78","4219 days"
"Dalton Sanchez","2","926.24","1852.49","4213 days"
"Dalton Sanchez","2","926.24","1852.49","4213 days"
"Jillian Suri","1","982.86","982.86","4203 days"
"Jeremiah Sanchez","1","60.73","60.73","4245 days"
"Carlos Morris","1","44.18","44.18","4145 days"
"Angel Morris","1","66.28","66.28","4410 days"
"Jillian Kapoor","1","8.04","8.04","4359 days"
"Isaiah Morris","1","8.04","8.04","4244 days"
"Alex Morris","1","44.18","44.18","4334 days"
"Jillian Patel","1","8.04","8.04","4198 days"
"Jillian Vance","1","8.04","8.04","4193 days"
"Jillian Malhotra","1","5.51","5.51","4131 days"
"Jillian Sai","1","16.83","16.83","4470 days"
"Paula Rubio","2","1732.06","3464.12","4301 days"
"Paula Rubio","2","1732.06","3464.12","4301 days"
"Mason Morris","2","1700.58","3401.17","4282 days"
"Mason Morris","2","1700.58","3401.17","4282 days"
"Isaac Morris","2","2675.76","5351.52","4230 days"
"Isaac Morris","2","2675.76","5351.52","4230 days"
"Jillian Arthur","1","16.83","16.83","4411 days"
"Jillian Madan","1","99.42","99.42","4155 days"
"Jesse Morris","1","44.18","44.18","4433 days"
"Jillian Srini","2","896.41","1792.83","4218 days"
"Jillian Srini","2","896.41","1792.83","4218 days"
"Sean Morris","2","896.41","1792.83","4218 days"
"Sean Morris","2","896.41","1792.83","4218 days"
"Jillian Prasad","3","34.79","104.36","4265 days"
"Jillian Prasad","3","34.79","104.36","4265 days"
"Jillian Prasad","3","34.79","104.36","4265 days"
"Timothy Morris","2","896.41","1792.83","4214 days"
"Timothy Morris","2","896.41","1792.83","4214 days"
"Patrick Morris","2","901.38","1802.76","4218 days"
"Patrick Morris","2","901.38","1802.76","4218 days"
"Jillian Saunders","1","8.04","8.04","4293 days"
"Jillian Rana","2","870.99","1741.98","4203 days"
"Jillian Rana","2","870.99","1741.98","4203 days"
"Brian Morris","1","5.51","5.51","4424 days"
"Jillian Raman","1","8.04","8.04","4219 days"
"Bryce Morris","1","60.75","60.75","4393 days"
"Nathaniel Morris","1","44.18","44.18","4187 days"
"Chase Morris","1","8.04","8.04","4493 days"
"Sebastian Morris","2","1742.01","3484.02","4294 days"
"Sebastian Morris","2","1742.01","3484.02","4294 days"
"Cole Morris","2","1719.92","3439.84","4304 days"
"Cole Morris","2","1719.92","3439.84","4304 days"
"Jillian Mehta","2","1742.00","3484.01","4291 days"
"Jillian Mehta","2","1742.00","3484.01","4291 days"
"Jared Morris","1","888.94","888.94","4198 days"
"Paula Ortega","1","56.29","56.29","4171 days"
"Jillian Garcia","2","875.58","1751.16","4205 days"
"Jillian Garcia","2","875.58","1751.16","4205 days"
"Bryan Morris","1","191.14","191.14","4297 days"
"Garrett Morris","1","44.18","44.18","4193 days"
"Jillian Fernandez","2","1767.69","3535.38","4291 days"
"Jillian Fernandez","2","1767.69","3535.38","4291 days"
"Steven Morris","2","1732.06","3464.12","4296 days"
"Steven Morris","2","1732.06","3464.12","4296 days"
"Adrian Morris","1","44.18","44.18","4482 days"
"Cody Morris","1","8.04","8.04","4409 days"
"Charles Morris","1","44.18","44.18","4191 days"
"Jillian Lopez","2","901.38","1802.76","4218 days"
"Jillian Lopez","2","901.38","1802.76","4218 days"
"Devin Morris","1","937.56","937.56","4161 days"
"Eduardo Morris","1","44.18","44.18","4210 days"
"Jillian Martinez","1","8.04","8.04","4137 days"
"Richard Morris","2","896.41","1792.83","4194 days"
"Richard Morris","2","896.41","1792.83","4194 days"
"Marcus Morris","2","882.73","1765.46","4209 days"
"Marcus Morris","2","882.73","1765.46","4209 days"
"Ian Morris","2","896.41","1792.83","4205 days"
"Ian Morris","2","896.41","1792.83","4205 days"
"Jillian Gonzalez","3","57.47","172.42","4185 days"
"Jillian Gonzalez","3","57.47","172.42","4185 days"
"Jillian Gonzalez","3","57.47","172.42","4185 days"
"Jillian Rodriguez","2","896.41","1792.83","4191 days"
"Jillian Rodriguez","2","896.41","1792.83","4191 days"
"Lucas Morris","2","909.95","1819.89","4215 days"
"Lucas Morris","2","909.95","1819.89","4215 days"
"Seth Morris","2","857.75","1715.49","4193 days"
"Seth Morris","2","857.75","1715.49","4193 days"
"Xavier Mohamed","1","5.51","5.51","4415 days"
"Jillian Perez","2","1713.83","3427.65","4308 days"
"Jillian Perez","2","1713.83","3427.65","4308 days"
"Brenda Suri","2","1794.11","3588.21","4299 days"
"Brenda Suri","2","1794.11","3588.21","4299 days"
"Brenda Kapoor","2","901.38","1802.76","4206 days"
"Brenda Kapoor","2","901.38","1802.76","4206 days"
"Dalton Morris","2","1767.14","3534.29","4298 days"
"Dalton Morris","2","1767.14","3534.29","4298 days"
"Jeremiah Morris","2","1734.82","3469.63","4306 days"
"Jeremiah Morris","2","1734.82","3469.63","4306 days"
"Diane Martin","2","1737.76","3475.51","4287 days"
"Diane Martin","2","1737.76","3475.51","4287 days"
"Brenda Chandra","2","1721.00","3442.01","4296 days"
"Brenda Chandra","2","1721.00","3442.01","4296 days"
"Carlos Rogers","1","77.34","77.34","4440 days"
"Brenda Van","2","180.02","360.04","4185 days"
"Brenda Van","2","180.02","360.04","4185 days"
"Angel Rogers","3","3056.17","9168.51","4303 days"
"Angel Rogers","3","3056.17","9168.51","4303 days"
"Angel Rogers","3","3056.17","9168.51","4303 days"
"Brenda Malhotra","1","38.68","38.68","4215 days"
"Isaiah Rogers","1","132.58","132.58","4456 days"
"Brenda Sai","3","2663.92","7991.77","4326 days"
"Brenda Sai","3","2663.92","7991.77","4326 days"
"Brenda Sai","3","2663.92","7991.77","4326 days"
"Alex Rogers","1","44.18","44.18","4181 days"
"Brenda Arun","1","56.86","56.86","4267 days"
"Brenda Madan","1","5.51","5.51","4178 days"
"Evan Rogers","1","44.18","44.18","4133 days"
"Brenda Stone","2","2621.62","5243.25","4247 days"
"Brenda Stone","2","2621.62","5243.25","4247 days"
"Mason Rogers","2","2607.27","5214.54","4231 days"
"Mason Rogers","2","2607.27","5214.54","4231 days"
"Brenda Prasad","2","1759.13","3518.25","4304 days"
"Brenda Prasad","2","1759.13","3518.25","4304 days"
"Isaac Rogers","2","1736.08","3472.16","4295 days"
"Isaac Rogers","2","1736.08","3472.16","4295 days"
"Brenda Saunders","1","66.28","66.28","4469 days"
"Jesse Rogers","2","1755.82","3511.65","4304 days"
"Jesse Rogers","2","1755.82","3511.65","4304 days"
"Sean Rogers","1","8.04","8.04","4426 days"
"Timothy Rogers","2","1728.19","3456.38","4300 days"
"Timothy Rogers","2","1728.19","3456.38","4300 days"
"Patrick Rogers","1","8.04","8.04","4241 days"
"Brenda Rana","2","1756.37","3512.74","4309 days"
"Brenda Rana","2","1756.37","3512.74","4309 days"
"Brian Rogers","2","1715.66","3431.32","4293 days"
"Brian Rogers","2","1715.66","3431.32","4293 days"
"Bryce Rogers","1","44.18","44.18","4175 days"
"Brenda Subram","2","1755.82","3511.65","4289 days"
"Brenda Subram","2","1755.82","3511.65","4289 days"
"Brenda Mehta","1","75.06","75.06","4332 days"
"Brenda Garcia","3","50.18","150.55","4217 days"
"Brenda Garcia","3","50.18","150.55","4217 days"
"Brenda Garcia","3","50.18","150.55","4217 days"
"Brenda Fernandez","3","61.84","185.53","4136 days"
"Brenda Fernandez","3","61.84","185.53","4136 days"
"Brenda Fernandez","3","61.84","185.53","4136 days"
"Nathaniel Rogers","3","62.95","188.86","4225 days"
"Nathaniel Rogers","3","62.95","188.86","4225 days"
"Nathaniel Rogers","3","62.95","188.86","4225 days"
"Chase Rogers","2","1759.40","3518.81","4297 days"
"Chase Rogers","2","1759.40","3518.81","4297 days"
"Brenda Lopez","2","1737.76","3475.51","4294 days"
"Brenda Lopez","2","1737.76","3475.51","4294 days"
"Juan Rogers","1","5.51","5.51","4149 days"
"Sebastian Rogers","1","114.35","114.35","4306 days"
"Cole Rogers","1","126.48","126.48","4138 days"
"Brenda Martinez","1","8.04","8.04","4428 days"
"Jared Rogers","1","8.04","8.04","4418 days"
"Brenda Gonzalez","1","5.51","5.51","4283 days"
"Diane Ruiz","1","5.51","5.51","4193 days"
"Brenda Rodriguez","2","1728.19","3456.38","4310 days"
"Brenda Rodriguez","2","1728.19","3456.38","4310 days"
"Bryan Rogers","2","1742.01","3484.02","4288 days"
"Bryan Rogers","2","1742.01","3484.02","4288 days"
"Brenda Sanchez","1","44.18","44.18","4274 days"
"Garrett Rogers","2","2667.48","5334.95","4216 days"
"Garrett Rogers","2","2667.48","5334.95","4216 days"
"Brenda Perez","1","44.18","44.18","4360 days"
"Steven Rogers","1","8.04","8.04","4163 days"
"Candace Kapoor","2","1732.06","3464.12","4283 days"
"Candace Kapoor","2","1732.06","3464.12","4283 days"
"Cody Rogers","2","2640.96","5281.92","4205 days"
"Cody Rogers","2","2640.96","5281.92","4205 days"
"Charles Rogers","2","1739.24","3478.48","4284 days"
"Charles Rogers","2","1739.24","3478.48","4284 days"
"Candace Chapman","1","44.18","44.18","4473 days"
"Candace Patel","2","1730.97","3461.93","4297 days"
"Candace Patel","2","1730.97","3461.93","4297 days"
"Candace Van","2","1739.39","3478.78","4284 days"
"Candace Van","2","1739.39","3478.78","4284 days"
"Eduardo Rogers","1","5.51","5.51","4401 days"
"Candace Malhotra","1","44.18","44.18","4230 days"
"Richard Rogers","3","48.45","145.36","4248 days"
"Richard Rogers","3","48.45","145.36","4248 days"
"Richard Rogers","3","48.45","145.36","4248 days"
"Marcus Rogers","1","44.18","44.18","4349 days"
"Ian Rogers","2","1721.00","3442.01","4299 days"
"Ian Rogers","2","1721.00","3442.01","4299 days"
"Candace Sai","1","16.83","16.83","4403 days"
"Lucas Rogers","1","8.04","8.04","4445 days"
"Seth Rogers","1","44.18","44.18","4217 days"
"Xavier Rogers","1","44.18","44.18","4279 days"
"Candace Arun","2","866.02","1732.04","4198 days"
"Candace Arun","2","866.02","1732.04","4198 days"
"Dalton Rogers","2","894.99","1789.99","4191 days"
"Dalton Rogers","2","894.99","1789.99","4191 days"
"Jeremy Rogers","2","1728.19","3456.38","4287 days"
"Jeremy Rogers","2","1728.19","3456.38","4287 days"
"Carlos Reed","1","5.51","5.51","4180 days"
"Candace Madan","3","117.47","352.41","4277 days"
"Candace Madan","3","117.47","352.41","4277 days"
"Candace Madan","3","117.47","352.41","4277 days"
"Angel Reed","1","5.51","5.51","4482 days"
"Isaiah Reed","1","99.42","99.42","4284 days"
"Candace Srini","1","5.51","5.51","4235 days"
"Candace Prasad","2","1723.94","3447.89","4301 days"
"Candace Prasad","2","1723.94","3447.89","4301 days"
"Alex Reed","3","85.54","256.61","4345 days"
"Alex Reed","3","85.54","256.61","4345 days"
"Alex Reed","3","85.54","256.61","4345 days"
"Evan Reed","2","1714.40","3428.79","4310 days"
"Evan Reed","2","1714.40","3428.79","4310 days"
"Candace Sara","1","5.51","5.51","4461 days"
"Candace Rana","1","5.51","5.51","4221 days"
"Isaac Reed","2","902.75","1805.50","4181 days"
"Isaac Reed","2","902.75","1805.50","4181 days"
"Jesse Reed","1","5.51","5.51","4453 days"
"Candace Raman","1","34.22","34.22","4169 days"
"Candace Subram","2","2084.26","4168.51","4264 days"
"Candace Subram","2","2084.26","4168.51","4264 days"
"Sean Reed","2","64.05","128.09","4207 days"
"Sean Reed","2","64.05","128.09","4207 days"
"Candace Mehta","2","869.89","1739.78","4176 days"
"Candace Mehta","2","869.89","1739.78","4176 days"
"Timothy Reed","2","901.38","1802.76","4179 days"
"Timothy Reed","2","901.38","1802.76","4179 days"
"Diane Hernandez","2","1751.54","3503.07","4309 days"
"Diane Hernandez","2","1751.54","3503.07","4309 days"
"Candace Fernandez","1","44.18","44.18","4488 days"
"Patrick Reed","1","8.04","8.04","4406 days"
"Candace Martinez","2","877.08","1754.15","4184 days"
"Candace Martinez","2","877.08","1754.15","4184 days"
"Candace Gonzalez","2","896.41","1792.83","4187 days"
"Candace Gonzalez","2","896.41","1792.83","4187 days"
"Brian Reed","2","17.83","35.67","4244 days"
"Brian Reed","2","17.83","35.67","4244 days"
"Bryce Reed","2","2100.27","4200.54","4267 days"
"Bryce Reed","2","2100.27","4200.54","4267 days"
"Chase Reed","2","2084.26","4168.51","4256 days"
"Chase Reed","2","2084.26","4168.51","4256 days"
"Candace Sanchez","2","20.59","41.18","4141 days"
"Candace Sanchez","2","20.59","41.18","4141 days"
"Candace Perez","2","2093.25","4186.49","4230 days"
"Candace Perez","2","2093.25","4186.49","4230 days"
"Juan Reed","2","2101.75","4203.51","4233 days"
"Juan Reed","2","2101.75","4203.51","4233 days"
"Sebastian Reed","3","2481.30","7443.90","4163 days"
"Sebastian Reed","3","2481.30","7443.90","4163 days"
"Sebastian Reed","3","2481.30","7443.90","4163 days"
"Cole Reed","2","42.69","85.38","4369 days"
"Cole Reed","2","42.69","85.38","4369 days"
"Nancy Suri","1","103.30","103.30","4338 days"
"Jared Reed","1","8.04","8.04","4486 days"
"Bryan Reed","2","76.77","153.54","4157 days"
"Bryan Reed","2","76.77","153.54","4157 days"
"Nancy Kapoor","1","71.79","71.79","4344 days"
"Warren Sharma","1","35.66","35.66","4387 days"
"Damien Raji","1","27.61","27.61","4375 days"
"Diane Alvarez","2","29.24","58.49","4155 days"
"Diane Alvarez","2","29.24","58.49","4155 days"
"Nancy Chapman","2","27.38","54.76","4161 days"
"Nancy Chapman","2","27.38","54.76","4161 days"
"Garrett Reed","1","35.66","35.66","4462 days"
"Nancy Kovar","2","1522.99","3045.98","4263 days"
"Nancy Kovar","2","1522.99","3045.98","4263 days"
"Steven Reed","1","27.61","27.61","4443 days"
"Rodrigo Ready","3","2449.64","7348.91","4174 days"
"Rodrigo Ready","3","2449.64","7348.91","4174 days"
"Rodrigo Ready","3","2449.64","7348.91","4174 days"
"Cody Reed","2","1517.47","3034.94","4274 days"
"Cody Reed","2","1517.47","3034.94","4274 days"
"Charles Reed","2","1712.36","3424.72","4236 days"
"Charles Reed","2","1712.36","3424.72","4236 days"
"Nancy Sai","2","1555.58","3111.15","4255 days"
"Nancy Sai","2","1555.58","3111.15","4255 days"
"Devin Reed","2","1536.80","3073.60","4262 days"
"Devin Reed","2","1536.80","3073.60","4262 days"
"Eduardo Reed","1","5.51","5.51","4295 days"
"Richard Reed","1","38.59","38.59","4342 days"
"Marcus Reed","2","1517.47","3034.94","4225 days"
